step_number,epoch_number,training_loss
1,0,0.24363428354263306
2,0,0.19730156660079956
3,0,0.16620104014873505
4,0,0.13770544528961182
5,0,0.11050856858491898
6,0,0.09055447578430176
7,0,0.0766916424036026
8,0,0.07169944047927856
9,0,0.0667106956243515
10,0,0.049230292439460754
11,0,0.05432683229446411
12,0,0.0400051586329937
13,0,0.03984867036342621
14,0,0.04208766669034958
15,0,0.03274734318256378
16,1,0.029811400920152664
17,1,0.023378390818834305
18,1,0.02398049831390381
19,1,0.02518502250313759
20,1,0.01986437477171421
21,1,0.01861991360783577
22,1,0.015128133818507195
23,1,0.01722678914666176
24,1,0.015283357352018356
25,1,0.013948245905339718
26,1,0.014191215857863426
27,1,0.011445662938058376
28,1,0.01139189675450325
29,1,0.013845253735780716
30,1,0.009482154622673988
31,2,0.010116237215697765
32,2,0.008779647760093212
33,2,0.009221960790455341
34,2,0.009680885821580887
35,2,0.0072738248854875565
36,2,0.008894037455320358
37,2,0.006162835285067558
38,2,0.0070359245873987675
39,2,0.0077986507676541805
40,2,0.006083938293159008
41,2,0.006395233795046806
42,2,0.005381826777011156
43,2,0.006332464516162872
44,2,0.006921531166881323
45,2,0.004219717346131802
